 first_name  |  last_name   |            title            |      rental_date       
-------------+--------------+-----------------------------+------------------------
 RAFAEL      | ABNEY        | FREDDY STORM                | 2022-08-22 23:30:26+00
 NATHANIEL   | ADAM         | ORIENT CLOSER               | 2022-08-23 20:44:27+00
 KATHLEEN    | ADAMS        | HEDWIG ALTER                | 2022-08-23 07:42:40+00
 DIANA       | ALEXANDER    | AIRPORT POLLOCK             | 2022-08-23 19:24:36+00
 GORDON      | ALLARD       | MUSCLE BRIGHT               | 2022-08-21 09:45:01+00
 SHIRLEY     | ALLEN        | OLEANDER CLUE               | 2022-08-22 09:00:04+00
 CHARLENE    | ALVAREZ      | WIZARD COLDBLOODED          | 2022-08-23 09:32:52+00
 LISA        | ANDERSON     | HUMAN GRAFFITI              | 2022-08-22 16:46:41+00
 JOSE        | ANDREW       | DRAGON SQUAD                | 2022-08-19 00:38:18+00
 IDA         | ANDREWS      | CHISUM BEHAVIOR             | 2022-08-20 02:35:16+00
 OSCAR       | AQUINO       | PITTSBURGH HUNCHBACK        | 2022-08-22 05:37:43+00
 HARRY       | ARCE         | UNCUT SUICIDES              | 2022-08-22 23:31:09+00
 JORDAN      | ARCHULETA    | AFFAIR PREJUDICE            | 2022-08-22 20:16:54+00
 MELANIE     | ARMSTRONG    | PATHS CONTROL               | 2022-08-23 00:39:10+00
 BEATRICE    | ARNOLD       | BLINDNESS GUN               | 2022-08-23 03:27:06+00
 KENT        | ARSENAULT    | WONDERLAND CHRISTMAS        | 2022-08-20 14:05:42+00
 CARL        | ARTIS        | SEVEN SWARM                 | 2022-08-23 03:28:25+00
 DARRYL      | ASHCRAFT     | MOON BUNCH                  | 2022-08-22 09:49:06+00
 TYRONE      | ASHER        | SNATCHERS MONTEZUMA         | 2022-08-23 18:13:46+00
 ALMA        | AUSTIN       | ROCKETEER MOTHER            | 2022-08-23 19:10:13+00
 MILDRED     | BAILEY       | BOUND CHEAPER               | 2022-08-23 07:28:03+00
 PAMELA      | BAKER        | CAPER MOTIONS               | 2022-08-23 21:08:04+00
 MARTIN      | BALES        | CHAMPION FLATLINERS         | 2022-08-23 15:44:25+00
 EVERETT     | BANDA        | KISSING DOLLS               | 2022-08-23 15:33:33+00
 JESSIE      | BANKS        | CHAINSAW UPTOWN             | 2022-08-23 14:37:31+00
 CLAYTON     | BARBEE       | BROTHERHOOD BLANKET         | 2022-08-22 21:57:25+00
 ANGEL       | BARCLAY      | CADDYSHACK JEDI             | 2022-08-23 13:13:47+00
 NICHOLAS    | BARFIELD     | CHARIOTS CONSPIRACY         | 2022-08-22 05:17:12+00
 VICTOR      | BARKLEY      | PURPLE MOVIE                | 2022-08-23 17:44:21+00
 RACHEL      | BARNES       | SUN CONFESSIONS             | 2022-08-21 02:14:27+00
 CAROLE      | BARNETT      | HAUNTING PIANIST            | 2022-08-23 01:30:23+00
 TRACEY      | BARRETT      | FANTASIA PARK               | 2022-08-23 18:09:39+00
 DAISY       | BATES        | ELIZABETH SHANE             | 2022-08-21 13:51:52+00
 EDWARD      | BAUGH        | SALUTE APOLLO               | 2022-08-22 18:09:52+00
 ROBERT      | BAUGHMAN     | EGYPT TENENBAUMS            | 2022-08-22 17:39:11+00
 JEAN        | BELL         | FIDELITY DEVIL              | 2022-08-22 06:47:07+00
 CHESTER     | BENNER       | LEGALLY SECRETARY           | 2022-08-22 14:25:33+00
 JANE        | BENNETT      | WON DARES                   | 2022-08-22 20:34:00+00
 REGINA      | BERRY        | SPINAL ROCKY                | 2022-08-23 08:38:17+00
 CHARLIE     | BESS         | HOUSE DYNAMITE              | 2022-08-23 19:16:27+00
 MIGUEL      | BETANCOURT   | MUSCLE BRIGHT               | 2022-08-22 23:07:53+00
 HENRY       | BILLINGSLEY  | HIGH ENCINO                 | 2022-08-22 15:55:26+00
 AGNES       | BISHOP       | GUN BONNIE                  | 2022-08-22 18:02:48+00
 VALERIE     | BLACK        | UNCUT SUICIDES              | 2022-08-23 04:04:33+00
 DEREK       | BLAKELY      | BEVERLY OUTLAW              | 2022-08-23 06:03:19+00
 MATHEW      | BOLIN        | WONDERFUL DROP              | 2022-08-22 20:24:19+00
 DON         | BONE         | QUEST MUSSOLINI             | 2022-08-23 01:40:04+00
 LEON        | BOSTIC       | CASSIDY WYOMING             | 2022-08-23 18:14:07+00
 BOBBY       | BOUDREAU     | FORWARD TEMPLE              | 2022-08-23 11:29:24+00
 DERRICK     | BOURQUE      | MAGIC MALLRATS              | 2022-08-22 22:38:01+00
 CLIFFORD    | BOWENS       | MALLRATS UNITED             | 2022-08-23 20:59:57+00
 CAROLINE    | BOWMAN       | IMPOSSIBLE PREJUDICE        | 2022-08-22 02:58:29+00
 BYRON       | BOX          | LIFE TWISTED                | 2022-08-19 10:27:20+00
 EMMA        | BOYD         | SQUAD FISH                  | 2022-08-23 18:42:46+00
 ANA         | BRADLEY      | STREETCAR INTENTIONS        | 2022-08-23 01:01:20+00
 TED         | BREAUX       | MEMENTO ZOOLANDER           | 2022-08-22 20:01:25+00
 VICKIE      | BREWER       | CAUSE DATE                  | 2022-08-23 15:23:08+00
 RUSSELL     | BRINSON      | MULHOLLAND BEAST            | 2022-08-23 11:33:00+00
 BEVERLY     | BROOKS       | MURDER ANTITRUST            | 2022-08-23 19:47:12+00
 CHRIS       | BROTHERS     | BULL SHAWSHANK              | 2022-08-21 16:56:06+00
 ELIZABETH   | BROWN        | ALASKA PHANTOM              | 2022-08-22 16:37:02+00
 GUY         | BROWNLEE     | DINOSAUR SECRETARY          | 2022-08-23 19:07:10+00
 PAULA       | BRYANT       | SLACKER LIAISONS            | 2022-08-21 02:51:52+00
 CLINTON     | BUFORD       | FLASH WARS                  | 2022-08-23 14:21:35+00
 WESLEY      | BULL         | KARATE MOON                 | 2022-08-23 14:46:33+00
 TIMOTHY     | BUNN         | TAXI KICK                   | 2022-08-22 07:27:27+00
 EDWIN       | BURK         | BIRCH ANTITRUST             | 2022-08-23 09:56:15+00
 LYDIA       | BURKE        | MADRE GABLES                | 2022-08-21 20:02:55+00
 SIDNEY      | BURLESON     | DOWNHILL ENOUGH             | 2022-08-20 07:59:38+00
 APRIL       | BURNS        | LOATHING LEGALLY            | 2022-08-23 00:46:35+00
 COLLEEN     | BURTON       | CONVERSATION DOWNHILL       | 2022-08-23 19:07:08+00
 LEROY       | BUSTAMANTE   | DRIVER ANNIE                | 2022-08-22 15:35:25+00
 LOIS        | BUTLER       | PAYCHECK WAIT               | 2022-08-23 15:50:53+00
 ALLEN       | BUTTERFIELD  | WHISPERER GIANT             | 2022-08-23 12:41:05+00
 DEANNA      | BYRD         | FLINTSTONES HAPPINESS       | 2022-08-22 22:08:46+00
 DANIEL      | CABRAL       | RULES HUMAN                 | 2022-08-22 05:53:21+00
 KAY         | CALDWELL     | GOLDFINGER SENSIBILITY      | 2022-08-20 15:07:55+00
 CATHERINE   | CAMPBELL     | APACHE DIVINE               | 2022-08-23 11:47:26+00
 CHAD        | CARBONE      | FUGITIVE MAGUIRE            | 2022-08-23 12:33:46+00
 TERRY       | CARLSON      | AMISTAD MIDSUMMER           | 2022-08-22 16:12:29+00
 LORETTA     | CARPENTER    | REDS POCUS                  | 2022-08-23 20:04:51+00
 EILEEN      | CARR         | CONGENIALITY QUEST          | 2022-08-22 22:54:14+00
 TONY        | CARRANZA     | LOVE SUICIDES               | 2022-08-23 17:23:11+00
 JUNE        | CARROLL      | SATURN NAME                 | 2022-08-23 17:36:44+00
 AMANDA      | CARTER       | DINOSAUR SECRETARY          | 2022-08-22 15:06:49+00
 TIM         | CARY         | EVERYONE CRAFT              | 2022-08-23 21:24:39+00
 ALFRED      | CASILLAS     | CALIFORNIA BIRDS            | 2022-08-23 11:46:38+00
 GERTRUDE    | CASTILLO     | TROOPERS METAL              | 2022-08-23 06:25:29+00
 JENNY       | CASTRO       | STAMPEDE DISTURBING         | 2022-08-23 03:15:41+00
